MBTI,Count
ENFJ,222
ENFP,268
ENTJ,231
ENTP,292
ESFJ,97
ESFP,105
ESTJ,209
ESTP,143
INFJ,283
INFP,343
INTJ,344
INTP,467
ISFJ,202
ISFP,185
ISTJ,341
ISTP,456
