MBTI,Count
ENFJ,256
ENFP,301
ENTJ,260
ENTP,303
ESFJ,106
ESFP,132
ESTJ,221
ESTP,148
INFJ,306
INFP,383
INTJ,372
INTP,536
ISFJ,223
ISFP,210
ISTJ,371
ISTP,507
